DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
BVA1;30/07/2016;18:30;KFC Ranst A;KVV OG Vorselaar ;1;5;;1;04704;00402
BVA1;30/07/2016;18:30;VC Wijnegem ;KSK Weelde ;2;5;;1;01092;04252
BVA1;30/07/2016;18:30;K. Vlimmeren Sp. ;FC Oppuurs ;3;1;;1;02646;08765
BVA1;30/07/2016;18:30;White Star ;K. Bevel FC ;1;1;;1;07025;01640
BVA1;30/07/2016;18:30;K. Merksplas SK ;KFC De Kempen TL A;0;2;;1;03256;04469
BVA1;30/07/2016;18:30;K. Eendr. Zoersel ;K. Berg en Dal VV ;1;1;;1;01140;03057
BVA1;04/08/2016;19:00;KFC Lille ;KVV Bel. Edegem Sp. ;3;0;;1;02618;00375
BVA1;04/08/2016;19:00;K. Sint Job FC ;Witgoor Sp.Dessel ;3;2;;1;03514;02065
BVA1;04/08/2016;19:00;K.VV Duffel ;K. Vrijh. Herselt ;4;3;;1;06461;02683
BVA1;04/08/2016;19:00;KFC Beekhoek Sp. A;KSK Branddonk ;2;1;;1;05925;05927
BVA1;04/08/2016;19:00;Verbr. Zwijndrecht ;K. Mariaburg VK ;0;2;;1;09428;05357
BVA1;04/08/2016;19:00;K Ternesse VV ;Katelijne KFC A;6;1;;1;01085;04453
BVA1;06/08/2016;18:30;FC Oppuurs ;K.VV Duffel ;1;0;;2;08765;06461
BVA1;06/08/2016;18:30;KSK Weelde ;K Ternesse VV ;1;3;;2;04252;01085
BVA1;06/08/2016;18:30;K. Berg en Dal VV ;VC Wijnegem ;4;1;;2;03057;01092
BVA1;06/08/2016;18:30;KVV Bel. Edegem Sp. ;K. Eendr. Zoersel ;0;3;;2;00375;01140
BVA1;06/08/2016;18:30;KVV OG Vorselaar ;White Star ;1;0;;2;00402;07025
BVA1;06/08/2016;18:30;K. Bevel FC ;K. Vlimmeren Sp. ;1;2;;2;01640;02646
BVA1;06/08/2016;19:30;KFC De Kempen TL A;KFC Ranst A;1;1;;2;04469;04704
BVA1;07/08/2016;17:00;Katelijne KFC A;KFC Beekhoek Sp. A;3;1;;2;04453;05925
BVA1;11/08/2016;19:00;Witgoor Sp.Dessel ;KFC Lille ;1;1;;2;02065;02618
BVA1;11/08/2016;19:00;KSK Branddonk ;K. Sint Job FC ;0;3;;2;05927;03514
BVA1;11/08/2016;19:00;K. Mariaburg VK ;K. Merksplas SK ;5;2;;2;05357;03256
BVA1;11/08/2016;20:00;K. Vrijh. Herselt ;Verbr. Zwijndrecht ;2;3;;2;02683;09428
BVA1;13/08/2016;16:00;VC Wijnegem ;Witgoor Sp.Dessel ;2;2;;3;01092;02065
BVA1;13/08/2016;18:30;K Ternesse VV ;KVV Bel. Edegem Sp. ;3;0;;3;01085;00375
BVA1;13/08/2016;18:30;K.VV Duffel ;KVV OG Vorselaar ;3;3;;3;06461;00402
BVA1;13/08/2016;18:30;Verbr. Zwijndrecht ;K. Bevel FC ;1;3;;3;09428;01640
BVA1;13/08/2016;18:30;K. Eendr. Zoersel ;FC Oppuurs ;0;1;;3;01140;08765
BVA1;13/08/2016;18:30;K. Merksplas SK ;K. Berg en Dal VV ;3;2;;3;03256;03057
BVA1;13/08/2016;18:30;White Star ;K. Mariaburg VK ;3;3;;3;07025;05357
BVA1;13/08/2016;18:30;KFC Beekhoek Sp. A;KFC De Kempen TL A;0;5;;3;05925;04469
BVA1;13/08/2016;18:30;K. Vlimmeren Sp. ;KSK Branddonk ;0;2;;3;02646;05927
BVA1;13/08/2016;18:30;K. Sint Job FC ;KSK Weelde ;3;3;;3;03514;04252
BVA1;13/08/2016;18:30;KFC Ranst A;K. Vrijh. Herselt ;3;1;;3;04704;02683
BVA1;18/08/2016;19:00;KFC Lille ;Katelijne KFC A;2;0;;3;02618;04453
BVA1;20/08/2016;15:00;KVV OG Vorselaar ;K Ternesse VV ;0;0;;4;00402;01085
BVA1;20/08/2016;18:30;Witgoor Sp.Dessel ;Verbr. Zwijndrecht ;4;2;;4;02065;09428
BVA1;20/08/2016;18:30;K. Berg en Dal VV ;K.VV Duffel ;5;3;;4;03057;06461
