DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
1;27/08/2016;20:00;HO.Bierbeek A;ROFC.Stockel A;2;1;;1;03889;03031
1;28/08/2016;15:00;KSK.Kampenhout A;ERC.Hoeilaart A;4;1;;1;02615;01740
1;28/08/2016;15:00;RCS.Brainois A;Sporting Bruxelles A;0;3;;1;00075;06576
1;28/08/2016;15:00;Crossing Schaerbeek A;RFC.Grez-Doiceau A;2;0;;1;04070;00171
1;28/08/2016;15:00;HO.Veltem A;Ren.Cl.Schaerbeek ;2;1;;1;04246;04133
1;28/08/2016;15:00;VK.Liedekerke A;RSD.Jette A;2;4;;1;09467;00474
1;28/08/2016;15:00;KFC.Strombeek ;FC.Borght ;4;0;;1;05009;09501
1;28/08/2016;18:00;RC.Butsel A;VV.Houtem A;0;2;;1;09270;06831
1;03/09/2016;19:30;VV.Houtem A;Crossing Schaerbeek A;2;1;;2;06831;04070
1;03/09/2016;20:00;Ren.Cl.Schaerbeek ;VK.Liedekerke A;2;0;;2;04133;09467
1;04/09/2016;14:30;RFC.Grez-Doiceau A;RCS.Brainois A;4;4;;2;00171;00075
1;04/09/2016;15:00;RSD.Jette A;KFC.Strombeek ;2;3;;2;00474;05009
1;04/09/2016;15:00;ERC.Hoeilaart A;HO.Bierbeek A;2;3;;2;01740;03889
1;04/09/2016;15:00;Sporting Bruxelles A;KSK.Kampenhout A;0;0;;2;06576;02615
1;04/09/2016;15:00;ROFC.Stockel A;HO.Veltem A;2;4;;2;03031;04246
1;11/09/2016;15:00;Crossing Schaerbeek A;FC.Borght ;1;1;;3;04070;09501
1;11/09/2016;15:00;RCS.Brainois A;VV.Houtem A;2;1;;3;00075;06831
1;11/09/2016;15:00;Sporting Bruxelles A;RFC.Grez-Doiceau A;2;1;;3;06576;00171
1;11/09/2016;15:00;VK.Liedekerke A;ROFC.Stockel A;3;3;;3;09467;03031
1;11/09/2016;15:00;HO.Veltem A;ERC.Hoeilaart A;1;0;;3;04246;01740
1;11/09/2016;15:00;KFC.Strombeek ;Ren.Cl.Schaerbeek ;1;1;;3;05009;04133
1;11/09/2016;15:00;KSK.Kampenhout A;HO.Bierbeek A;0;3;;3;02615;03889
1;11/09/2016;16:00;RC.Butsel A;RSD.Jette A;0;0;;3;09270;00474
1;18/09/2016;15:00;FC.Borght ;RC.Butsel A;0;0;;2;09501;09270
1;24/09/2016;19:30;VV.Houtem A;Sporting Bruxelles A;0;2;;4;06831;06576
1;24/09/2016;20:00;Ren.Cl.Schaerbeek ;RC.Butsel A;2;0;;4;04133;09270
1;24/09/2016;20:00;HO.Bierbeek A;HO.Veltem A;2;1;;4;03889;04246
1;25/09/2016;14:30;RFC.Grez-Doiceau A;KSK.Kampenhout A;1;2;;4;00171;02615
1;25/09/2016;15:00;FC.Borght ;RCS.Brainois A;1;0;;4;09501;00075
1;25/09/2016;15:00;ERC.Hoeilaart A;VK.Liedekerke A;1;3;;4;01740;09467
1;25/09/2016;15:00;ROFC.Stockel A;KFC.Strombeek ;2;1;;4;03031;05009
1;25/09/2016;15:00;RSD.Jette A;Crossing Schaerbeek A;0;0;;4;00474;04070
1;02/10/2016;14:30;RFC.Grez-Doiceau A;VV.Houtem A;0;1;;5;00171;06831
1;02/10/2016;15:00;Crossing Schaerbeek A;Ren.Cl.Schaerbeek ;3;1;;5;04070;04133
1;02/10/2016;15:00;VK.Liedekerke A;HO.Bierbeek A;2;4;;5;09467;03889
1;02/10/2016;15:00;KFC.Strombeek ;ERC.Hoeilaart A;3;0;;5;05009;01740
1;02/10/2016;15:00;KSK.Kampenhout A;HO.Veltem A;2;1;;5;02615;04246
1;02/10/2016;15:00;RC.Butsel A;ROFC.Stockel A;1;5;;5;09270;03031
1;02/10/2016;15:00;Sporting Bruxelles A;FC.Borght ;1;3;;5;06576;09501
1;02/10/2016;15:00;RCS.Brainois A;RSD.Jette A;2;0;;5;00075;00474
1;08/10/2016;19:30;VV.Houtem A;KSK.Kampenhout A;1;1;;6;06831;02615
1;08/10/2016;20:00;Ren.Cl.Schaerbeek ;RCS.Brainois A;1;0;;6;04133;00075
1;08/10/2016;20:00;HO.Bierbeek A;KFC.Strombeek ;1;1;;6;03889;05009
1;09/10/2016;15:00;ROFC.Stockel A;Crossing Schaerbeek A;0;2;;6;03031;04070
1;09/10/2016;15:00;RSD.Jette A;Sporting Bruxelles A;1;1;;6;00474;06576
1;09/10/2016;15:00;ERC.Hoeilaart A;RC.Butsel A;2;0;;6;01740;09270
1;09/10/2016;15:00;HO.Veltem A;VK.Liedekerke A;4;1;;6;04246;09467
1;09/10/2016;15:00;FC.Borght ;RFC.Grez-Doiceau A;4;0;;6;09501;00171
1;15/10/2016;19:30;VV.Houtem A;FC.Borght ;2;1;;7;06831;09501
1;15/10/2016;20:00;KFC.Strombeek ;HO.Veltem A;2;3;;7;05009;04246
1;16/10/2016;14:30;RFC.Grez-Doiceau A;RSD.Jette A;2;3;;7;00171;00474
1;16/10/2016;15:00;KSK.Kampenhout A;VK.Liedekerke A;3;0;;7;02615;09467
1;16/10/2016;15:00;Sporting Bruxelles A;Ren.Cl.Schaerbeek ;1;2;;7;06576;04133
1;16/10/2016;15:00;Crossing Schaerbeek A;ERC.Hoeilaart A;0;0;;7;04070;01740
1;16/10/2016;15:00;RCS.Brainois A;ROFC.Stockel A;2;3;;7;00075;03031
1;16/10/2016;16:00;RC.Butsel A;HO.Bierbeek A;4;2;;7;09270;03889
1;22/10/2016;20:00;Ren.Cl.Schaerbeek ;RFC.Grez-Doiceau A;1;0;;8;04133;00171
1;22/10/2016;20:00;HO.Bierbeek A;Crossing Schaerbeek A;0;2;;8;03889;04070
1;23/10/2016;15:00;FC.Borght ;KSK.Kampenhout A;0;3;;8;09501;02615
1;23/10/2016;15:00;RSD.Jette A;VV.Houtem A;1;1;;8;00474;06831
1;23/10/2016;15:00;ERC.Hoeilaart A;RCS.Brainois A;4;1;;8;01740;00075
1;23/10/2016;15:00;HO.Veltem A;RC.Butsel A;2;2;;8;04246;09270
1;23/10/2016;15:00;ROFC.Stockel A;Sporting Bruxelles A;1;1;;8;03031;06576
1;23/10/2016;15:00;VK.Liedekerke A;KFC.Strombeek ;0;3;;8;09467;05009
1;29/10/2016;19:30;VV.Houtem A;Ren.Cl.Schaerbeek ;1;1;;9;06831;04133
1;30/10/2016;14:30;RFC.Grez-Doiceau A;ROFC.Stockel A;0;0;;9;00171;03031
1;30/10/2016;15:00;Sporting Bruxelles A;ERC.Hoeilaart A;1;4;;9;06576;01740
1;30/10/2016;15:00;KSK.Kampenhout A;KFC.Strombeek ;4;1;;9;02615;05009
1;30/10/2016;15:00;RCS.Brainois A;HO.Bierbeek A;3;0;;9;00075;03889
1;30/10/2016;15:00;FC.Borght ;RSD.Jette A;1;0;;9;09501;00474
1;30/10/2016;15:00;Crossing Schaerbeek A;HO.Veltem A;0;0;;9;04070;04246
1;30/10/2016;15:00;RC.Butsel A;VK.Liedekerke A;2;3;;9;09270;09467
1;05/11/2016;20:00;Ren.Cl.Schaerbeek ;FC.Borght ;3;1;;10;04133;09501
1;05/11/2016;20:00;KFC.Strombeek ;RC.Butsel A;2;1;;10;05009;09270
1;05/11/2016;20:00;HO.Bierbeek A;Sporting Bruxelles A;0;0;;10;03889;06576
1;06/11/2016;14:30;ERC.Hoeilaart A;RFC.Grez-Doiceau A;6;0;;10;01740;00171
1;06/11/2016;14:30;VK.Liedekerke A;Crossing Schaerbeek A;4;0;;10;09467;04070
1;06/11/2016;15:00;ROFC.Stockel A;VV.Houtem A;2;0;;10;03031;06831
1;06/11/2016;15:00;HO.Veltem A;RCS.Brainois A;2;2;;10;04246;00075
1;06/11/2016;15:00;RSD.Jette A;KSK.Kampenhout A;2;3;;10;00474;02615
1;12/11/2016;19:30;VV.Houtem A;ERC.Hoeilaart A;1;2;;11;06831;01740
1;13/11/2016;14:30;RFC.Grez-Doiceau A;HO.Bierbeek A;2;0;;11;00171;03889
1;13/11/2016;14:30;Sporting Bruxelles A;HO.Veltem A;0;0;;11;06576;04246
1;13/11/2016;14:30;RCS.Brainois A;VK.Liedekerke A;1;2;;11;00075;09467
1;13/11/2016;14:30;KSK.Kampenhout A;RC.Butsel A;2;3;;11;02615;09270
1;13/11/2016;14:30;FC.Borght ;ROFC.Stockel A;4;0;;11;09501;03031
1;13/11/2016;15:00;RSD.Jette A;Ren.Cl.Schaerbeek ;3;1;;11;00474;04133
1;13/11/2016;15:00;Crossing Schaerbeek A;KFC.Strombeek ;0;1;;11;04070;05009
1;19/11/2016;20:00;Ren.Cl.Schaerbeek ;KSK.Kampenhout A;0;1;;12;04133;02615
1;19/11/2016;20:00;HO.Bierbeek A;VV.Houtem A;4;0;;12;03889;06831
1;20/11/2016;14:30;ERC.Hoeilaart A;FC.Borght ;2;2;;12;01740;09501
1;20/11/2016;14:30;RC.Butsel A;Crossing Schaerbeek A;0;1;;12;09270;04070
1;20/11/2016;14:30;VK.Liedekerke A;Sporting Bruxelles A;2;2;;12;09467;06576
1;20/11/2016;15:00;ROFC.Stockel A;RSD.Jette A;0;4;;12;03031;00474
1;20/11/2016;15:00;HO.Veltem A;RFC.Grez-Doiceau A;2;1;;12;04246;00171
1;20/11/2016;15:00;KFC.Strombeek ;RCS.Brainois A;2;2;;12;05009;00075
1;26/11/2016;19:30;VV.Houtem A;HO.Veltem A;2;3;;13;06831;04246
1;26/11/2016;20:00;Ren.Cl.Schaerbeek ;ROFC.Stockel A;2;2;;13;04133;03031
1;27/11/2016;14:30;Sporting Bruxelles A;KFC.Strombeek ;3;1;;13;06576;05009
1;27/11/2016;14:30;RCS.Brainois A;RC.Butsel A;5;2;;13;00075;09270
1;27/11/2016;14:30;KSK.Kampenhout A;Crossing Schaerbeek A;1;1;;13;02615;04070
1;27/11/2016;14:30;RFC.Grez-Doiceau A;VK.Liedekerke A;1;0;;13;00171;09467
1;27/11/2016;14:30;FC.Borght ;HO.Bierbeek A;2;2;;13;09501;03889
1;27/11/2016;15:00;RSD.Jette A;ERC.Hoeilaart A;2;1;;13;00474;01740
1;03/12/2016;20:00;HO.Bierbeek A;RSD.Jette A;3;2;;14;03889;00474
1;04/12/2016;14:30;KSK.Kampenhout A;ROFC.Stockel A;2;1;;14;02615;03031
1;04/12/2016;14:30;RC.Butsel A;Sporting Bruxelles A;0;2;;14;09270;06576
1;04/12/2016;14:30;VK.Liedekerke A;VV.Houtem A;0;1;;14;09467;06831
1;04/12/2016;14:30;ERC.Hoeilaart A;Ren.Cl.Schaerbeek ;2;1;;14;01740;04133
