DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
B1;28/07/2016;19:00;E. Mechelen a/d Maas ;Uikhoven V.C. ;4;0;;1;05384;05713
B1;30/07/2016;18:30;K.Waterloos VV ;SSD Opoeteren ;0;3;;1;06563;07336
B1;30/07/2016;18:30;E. Rotem ;Ven Maaseik ;0;6;;1;02081;08755
B1;30/07/2016;18:30;Heidebloem Dilsen VV ;Umitspor Maasmechelen ;3;5;;1;09380;08603
B1;30/07/2016;18:30;FC Maasland NO ;VV Voorshoven ;2;0;;1;04517;08588
B1;30/07/2016;18:30;N. Gruitrode ;SLW Maaseik ;6;2;;1;05840;06888
B1;30/07/2016;18:30;AA Rekem ;Boorsem Sp. ;0;2;;1;01605;02498
B1;31/07/2016;18:00;K.F. Smeermaas ;L.S. Leut ;1;0;;1;06252;08074
B1;03/08/2016;19:00;HO Molenbeersel ;Opitter F.C. ;3;4;;1;02762;03123
B1;05/08/2016;19:00;Boorsem Sp. ;Lanklaar VV ;5;0;;2;02498;02648
B1;06/08/2016;16:00;SLW Maaseik ;E. Rotem ;1;2;;2;06888;02081
B1;06/08/2016;18:30;SSD Opoeteren ;FC Maasland NO ;1;1;;2;07336;04517
B1;06/08/2016;18:30;Grimbie 69 ;Heidebloem Dilsen VV ;4;0;;2;07322;09380
B1;06/08/2016;18:30;Umitspor Maasmechelen ;AA Rekem ;5;2;;2;08603;01605
B1;06/08/2016;18:30;Uikhoven V.C. ;K.F. Smeermaas ;3;0;;2;05713;06252
B1;06/08/2016;18:30;L.S. Leut ;Lanaken VV ;3;3;;2;08074;01050
B1;06/08/2016;18:30;VV Voorshoven ;HO Molenbeersel ;0;2;;2;08588;02762
B1;06/08/2016;18:30;Opitter F.C. ;Neeroeteren FC ;2;2;;2;03123;02426
B1;06/08/2016;18:30;K. St. Elen ;N. Gruitrode ;3;1;;2;06047;05840
B1;06/08/2016;18:30;Ven Maaseik ;K.Waterloos VV ;2;1;;2;08755;06563
B1;07/08/2016;18:30;VV Stokkem ;E. Mechelen a/d Maas ;3;1;;2;00332;05384
B1;13/08/2016;18:30;Lanklaar VV ;VV Stokkem ;0;6;;1;02648;00332
B1;16/08/2016;19:00;Neeroeteren FC ;K. St. Elen ;1;5;;1;02426;06047
B1;17/08/2016;19:00;Lanaken VV ;Grimbie 69 ;0;5;F1;1;01050;07322
