DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
1;27/08/2016;18:00;Kemzeke ;SK.Maldegem ;0;0;;1;03441;04220
1;27/08/2016;18:00;Bambrugge ;Appelterre A;0;1;;1;05343;03964
1;28/08/2016;15:00;KE.Buggenhout A;KVV.Ardennen ;0;1;;1;05861;03857
1;28/08/2016;15:00;KVV.Zelzate ;Aalter ;4;2;;1;04165;04763
1;28/08/2016;15:00;SK.Lochristi A;Avanti Stekene A;3;1;;1;05617;08552
1;28/08/2016;15:00;Elene-Grotenberge A;Melsele A;0;5;;1;03861;03541
1;28/08/2016;15:00;VK.Robur A;JV.Kruibeke ;2;0;;1;04162;02829
1;28/08/2016;17:00;Voorde ;Lovendegem ;2;2;;1;08262;04732
1;03/09/2016;19:30;Aalter ;VK.Robur A;1;2;;2;04763;04162
1;03/09/2016;19:30;SK.Maldegem ;Elene-Grotenberge A;0;2;;2;04220;03861
1;03/09/2016;20:00;Melsele A;KE.Buggenhout A;3;1;;2;03541;05861
1;04/09/2016;15:00;Lovendegem ;KVV.Zelzate ;1;4;;2;04732;04165
1;04/09/2016;15:00;Appelterre A;SK.Lochristi A;1;0;;2;03964;05617
1;04/09/2016;15:00;JV.Kruibeke ;Bambrugge ;2;0;;2;02829;05343
1;04/09/2016;15:00;KVV.Ardennen ;Voorde ;2;2;;2;03857;08262
1;04/09/2016;16:00;Avanti Stekene A;Kemzeke ;1;1;;2;08552;03441
1;10/09/2016;19:30;Lovendegem ;KVV.Ardennen ;1;0;;3;04732;03857
1;11/09/2016;15:00;KE.Buggenhout A;SK.Maldegem ;2;0;;3;05861;04220
1;11/09/2016;15:00;KVV.Zelzate ;VK.Robur A;1;1;;3;04165;04162
1;11/09/2016;15:00;Elene-Grotenberge A;Avanti Stekene A;2;1;;3;03861;08552
1;11/09/2016;15:00;SK.Lochristi A;JV.Kruibeke ;4;0;;3;05617;02829
1;11/09/2016;15:00;Voorde ;Melsele A;2;5;;3;08262;03541
1;11/09/2016;15:00;Kemzeke ;Appelterre A;1;2;;3;03441;03964
1;11/09/2016;15:00;Bambrugge ;Aalter ;5;1;;3;05343;04763
1;17/09/2016;19:30;Aalter ;SK.Lochristi A;3;1;;4;04763;05617
1;17/09/2016;19:30;SK.Maldegem ;Voorde ;3;1;;4;04220;08262
1;17/09/2016;20:00;Melsele A;Lovendegem ;3;2;;4;03541;04732
1;18/09/2016;14:30;Avanti Stekene A;KE.Buggenhout A;2;0;;4;08552;05861
1;18/09/2016;15:00;KVV.Ardennen ;KVV.Zelzate ;1;3;;4;03857;04165
1;18/09/2016;15:00;VK.Robur A;Bambrugge ;1;2;;4;04162;05343
1;18/09/2016;15:00;JV.Kruibeke ;Kemzeke ;1;3;;4;02829;03441
1;18/09/2016;15:00;Appelterre A;Elene-Grotenberge A;1;1;;4;03964;03861
1;25/09/2016;15:00;Elene-Grotenberge A;JV.Kruibeke ;3;1;;5;03861;02829
1;25/09/2016;15:00;KVV.Zelzate ;Bambrugge ;1;0;;5;04165;05343
1;25/09/2016;15:00;KVV.Ardennen ;Melsele A;1;2;;5;03857;03541
1;25/09/2016;15:00;KE.Buggenhout A;Appelterre A;1;0;;5;05861;03964
1;25/09/2016;15:00;SK.Lochristi A;VK.Robur A;0;3;;5;05617;04162
1;25/09/2016;15:00;Kemzeke ;Aalter ;1;0;;5;03441;04763
1;25/09/2016;15:00;Lovendegem ;SK.Maldegem ;0;0;;5;04732;04220
1;25/09/2016;16:00;Voorde ;Avanti Stekene A;1;2;;5;08262;08552
1;01/10/2016;19:30;Aalter ;Elene-Grotenberge A;2;1;;6;04763;03861
1;01/10/2016;19:30;SK.Maldegem ;KVV.Ardennen ;5;2;;6;04220;03857
1;01/10/2016;20:00;Melsele A;KVV.Zelzate ;1;2;;6;03541;04165
1;02/10/2016;15:00;Bambrugge ;SK.Lochristi A;1;4;;6;05343;05617
1;02/10/2016;15:00;JV.Kruibeke ;KE.Buggenhout A;4;0;;6;02829;05861
1;02/10/2016;15:00;VK.Robur A;Kemzeke ;1;4;;6;04162;03441
1;02/10/2016;15:00;Appelterre A;Voorde ;1;4;;6;03964;08262
1;02/10/2016;16:00;Avanti Stekene A;Lovendegem ;4;2;;6;08552;04732
1;08/10/2016;20:00;Melsele A;SK.Maldegem ;2;1;;7;03541;04220
1;09/10/2016;15:00;KVV.Zelzate ;SK.Lochristi A;0;2;;7;04165;05617
1;09/10/2016;15:00;KVV.Ardennen ;Avanti Stekene A;0;0;;7;03857;08552
1;09/10/2016;15:00;Voorde ;JV.Kruibeke ;4;1;;7;08262;02829
1;09/10/2016;15:00;Elene-Grotenberge A;VK.Robur A;2;0;;7;03861;04162
1;09/10/2016;15:00;Kemzeke ;Bambrugge ;2;1;;7;03441;05343
1;09/10/2016;15:00;Lovendegem ;Appelterre A;1;0;;7;04732;03964
1;09/10/2016;15:00;KE.Buggenhout A;Aalter ;1;2;;7;05861;04763
1;15/10/2016;19:30;SK.Maldegem ;KVV.Zelzate ;1;3;;8;04220;04165
1;15/10/2016;19:30;Aalter ;Voorde ;0;1;;8;04763;08262
1;16/10/2016;14:30;Avanti Stekene A;Melsele A;0;0;;8;08552;03541
1;16/10/2016;15:00;JV.Kruibeke ;Lovendegem ;1;1;;8;02829;04732
1;16/10/2016;15:00;SK.Lochristi A;Kemzeke ;1;0;;8;05617;03441
1;16/10/2016;15:00;Appelterre A;KVV.Ardennen ;1;2;;8;03964;03857
1;16/10/2016;15:00;Bambrugge ;Elene-Grotenberge A;3;1;;8;05343;03861
1;16/10/2016;15:00;VK.Robur A;KE.Buggenhout A;3;1;;8;04162;05861
1;22/10/2016;19:30;SK.Maldegem ;Avanti Stekene A;1;2;;9;04220;08552
1;22/10/2016;20:00;Melsele A;Appelterre A;1;1;;9;03541;03964
1;23/10/2016;15:00;KVV.Ardennen ;JV.Kruibeke ;1;0;;9;03857;02829
1;23/10/2016;15:00;Voorde ;VK.Robur A;0;1;;9;08262;04162
1;23/10/2016;15:00;KVV.Zelzate ;Kemzeke ;1;1;;9;04165;03441
1;23/10/2016;15:00;KE.Buggenhout A;Bambrugge ;1;2;;9;05861;05343
1;23/10/2016;15:00;Elene-Grotenberge A;SK.Lochristi A;5;3;;9;03861;05617
1;23/10/2016;15:00;Lovendegem ;Aalter ;1;1;;9;04732;04763
1;30/10/2016;15:00;SK.Lochristi A;KE.Buggenhout A;4;0;;10;05617;05861
1;30/10/2016;15:00;Kemzeke ;Elene-Grotenberge A;2;0;;10;03441;03861
1;30/10/2016;15:00;Aalter ;KVV.Ardennen ;0;0;;10;04763;03857
1;30/10/2016;15:00;Bambrugge ;Voorde ;2;0;;10;05343;08262
1;30/10/2016;15:00;Avanti Stekene A;KVV.Zelzate ;1;1;;10;08552;04165
1;30/10/2016;15:00;Appelterre A;SK.Maldegem ;1;1;;10;03964;04220
