DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
1;03/09/2016;18:00;S.V.V. Damme ;VV Westkapelle ;1;1;;1;08143;09238
1;04/09/2016;15:00;K. SV Rumbeke ;K. WS Adinkerke ;1;1;;1;05181;02521
1;04/09/2016;15:00;K. VC Wingene ;K. SKV Zwevezele A;1;2;;1;05216;06039
1;04/09/2016;15:00;K.S.K. Oostnieuwkerke ;K.V.C.S.V. Oostkamp ;0;2;;1;06440;05956
1;04/09/2016;15:00;K. Sassp. Boezinge ;K.S.C. Wielsbeke ;1;1;;1;05544;06381
1;04/09/2016;15:00;K.R.C. Waregem ;K. WS Lauwe ;2;4;;1;03302;00535
1;04/09/2016;15:00;RC Lauwe ;S.V.D. Kortemark ;6;2;;1;04196;05935
1;04/09/2016;15:00;K. VV Oostduinkerke ;S.K. Eernegem ;2;1;;1;03841;02777
1;10/09/2016;18:00;VV Westkapelle ;K. Sassp. Boezinge ;0;3;;2;09238;05544
1;10/09/2016;19:00;K. SKV Zwevezele A;K. SV Rumbeke ;3;0;;2;06039;05181
1;11/09/2016;15:00;S.K. Eernegem ;K. VC Wingene ;0;1;;2;02777;05216
1;11/09/2016;15:00;S.V.D. Kortemark ;K.R.C. Waregem ;4;3;;2;05935;03302
1;11/09/2016;15:00;K. WS Adinkerke ;S.V.V. Damme ;1;1;;2;02521;08143
1;11/09/2016;15:00;K.S.C. Wielsbeke ;RC Lauwe ;1;2;;2;06381;04196
1;11/09/2016;15:00;K.V.C.S.V. Oostkamp ;K. VV Oostduinkerke ;0;0;;2;05956;03841
1;11/09/2016;15:00;K. WS Lauwe ;K.S.K. Oostnieuwkerke ;3;1;;2;00535;06440
1;17/09/2016;17:00;S.V.V. Damme ;K. SKV Zwevezele A;0;0;;3;08143;06039
1;17/09/2016;18:30;K.S.K. Oostnieuwkerke ;S.V.D. Kortemark ;0;1;;3;06440;05935
1;17/09/2016;19:00;K. SV Rumbeke ;S.K. Eernegem ;1;2;;3;05181;02777
1;18/09/2016;15:00;K. VC Wingene ;K.V.C.S.V. Oostkamp ;2;0;;3;05216;05956
1;18/09/2016;15:00;K.S.C. Wielsbeke ;VV Westkapelle ;1;1;;3;06381;09238
1;18/09/2016;15:00;RC Lauwe ;K.R.C. Waregem ;1;5;;3;04196;03302
1;18/09/2016;15:00;K. VV Oostduinkerke ;K. WS Lauwe ;2;1;;3;03841;00535
1;18/09/2016;15:00;K. Sassp. Boezinge ;K. WS Adinkerke ;5;1;;3;05544;02521
1;24/09/2016;19:00;K. SKV Zwevezele A;K. Sassp. Boezinge ;3;1;;4;06039;05544
1;25/09/2016;15:00;K.V.C.S.V. Oostkamp ;K. SV Rumbeke ;6;0;;4;05956;05181
1;25/09/2016;15:00;K. WS Adinkerke ;K.S.C. Wielsbeke ;0;7;;4;02521;06381
1;25/09/2016;15:00;VV Westkapelle ;RC Lauwe ;2;2;;4;09238;04196
1;25/09/2016;15:00;K. WS Lauwe ;K. VC Wingene ;0;0;;4;00535;05216
1;25/09/2016;15:00;S.V.D. Kortemark ;K. VV Oostduinkerke ;0;2;;4;05935;03841
1;25/09/2016;15:00;S.K. Eernegem ;S.V.V. Damme ;1;1;;4;02777;08143
1;25/09/2016;15:00;K.R.C. Waregem ;K.S.K. Oostnieuwkerke ;3;1;;4;03302;06440
1;01/10/2016;19:00;K. SV Rumbeke ;K. WS Lauwe ;4;4;;5;05181;00535
1;02/10/2016;15:00;K. VV Oostduinkerke ;K.R.C. Waregem ;3;0;;5;03841;03302
1;02/10/2016;15:00;K. Sassp. Boezinge ;S.K. Eernegem ;2;0;;5;05544;02777
1;02/10/2016;15:00;VV Westkapelle ;K. WS Adinkerke ;5;0;;5;09238;02521
1;02/10/2016;15:00;S.V.V. Damme ;K.V.C.S.V. Oostkamp ;1;1;;5;08143;05956
1;02/10/2016;15:00;K. VC Wingene ;S.V.D. Kortemark ;2;0;;5;05216;05935
1;02/10/2016;15:00;K.S.C. Wielsbeke ;K. SKV Zwevezele A;1;1;;5;06381;06039
1;02/10/2016;15:00;RC Lauwe ;K.S.K. Oostnieuwkerke ;4;3;;5;04196;06440
1;08/10/2016;19:00;K. SKV Zwevezele A;VV Westkapelle ;2;2;;6;06039;09238
1;09/10/2016;15:00;K.S.K. Oostnieuwkerke ;K. VV Oostduinkerke ;1;4;;6;06440;03841
1;09/10/2016;15:00;K. WS Lauwe ;S.V.V. Damme ;2;0;;6;00535;08143
1;09/10/2016;15:00;S.V.D. Kortemark ;K. SV Rumbeke ;1;0;;6;05935;05181
1;09/10/2016;15:00;S.K. Eernegem ;K.S.C. Wielsbeke ;1;1;;6;02777;06381
1;09/10/2016;15:00;K.R.C. Waregem ;K. VC Wingene ;0;1;;6;03302;05216
1;09/10/2016;15:00;K. WS Adinkerke ;RC Lauwe ;3;2;;6;02521;04196
1;09/10/2016;16:00;K.V.C.S.V. Oostkamp ;K. Sassp. Boezinge ;4;1;;6;05956;05544
1;15/10/2016;16:00;K.S.C. Wielsbeke ;K.V.C.S.V. Oostkamp ;2;2;;7;06381;05956
1;15/10/2016;19:00;S.V.V. Damme ;S.V.D. Kortemark ;1;1;;7;08143;05935
1;15/10/2016;19:30;K. VC Wingene ;K.S.K. Oostnieuwkerke ;1;0;;7;05216;06440
1;15/10/2016;20:00;K. SV Rumbeke ;K.R.C. Waregem ;3;2;;7;05181;03302
1;16/10/2016;15:00;VV Westkapelle ;S.K. Eernegem ;3;1;;7;09238;02777
1;16/10/2016;15:00;K. WS Adinkerke ;K. SKV Zwevezele A;0;7;;7;02521;06039
1;16/10/2016;15:00;K. Sassp. Boezinge ;K. WS Lauwe ;1;3;;7;05544;00535
1;16/10/2016;15:00;RC Lauwe ;K. VV Oostduinkerke ;3;5;;7;04196;03841
1;22/10/2016;19:00;K. SKV Zwevezele A;RC Lauwe ;1;0;;8;06039;04196
1;23/10/2016;15:00;K.V.C.S.V. Oostkamp ;VV Westkapelle ;5;1;;8;05956;09238
1;23/10/2016;15:00;S.K. Eernegem ;K. WS Adinkerke ;8;1;;8;02777;02521
1;23/10/2016;15:00;K. VV Oostduinkerke ;K. VC Wingene ;1;1;;8;03841;05216
1;23/10/2016;15:00;S.V.D. Kortemark ;K. Sassp. Boezinge ;0;2;;8;05935;05544
1;23/10/2016;15:00;K. WS Lauwe ;K.S.C. Wielsbeke ;3;2;;8;00535;06381
1;23/10/2016;15:00;K.S.K. Oostnieuwkerke ;K. SV Rumbeke ;0;1;;8;06440;05181
1;23/10/2016;15:00;K.R.C. Waregem ;S.V.V. Damme ;1;1;;8;03302;08143
1;29/10/2016;19:00;S.V.V. Damme ;K.S.K. Oostnieuwkerke ;2;0;;9;08143;06440
1;29/10/2016;19:00;K. SKV Zwevezele A;S.K. Eernegem ;8;0;;9;06039;02777
